dataset,group,n,dense_all_hit,hyde_all_hit,delta_all_hit,delta_all_hit_ci_low,delta_all_hit_ci_high,dense_recall,hyde_recall,delta_recall,delta_recall_ci_low,delta_recall_ci_high,dense_any_hit,hyde_any_hit,delta_any_hit,delta_any_hit_ci_low,delta_any_hit_ci_high,dense_f1,hyde_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high
HotpotQA,Exact-answer present,292,0.6643835616438356,0.9452054794520548,0.2808219178082192,0.22945205479452055,0.3321917808219178,0.827054794520548,0.9726027397260274,0.14554794520547945,0.11815068493150685,0.17294520547945205,0.9897260273972602,1.0,0.010273972602739725,0.0,0.023972602739726026,0.7975523335112377,0.9085275455138468,0.11097521200260926,0.07558708414872799,0.1461187214611872
HotpotQA,Alias/paraphrase proxy present,22,0.6818181818181818,0.9545454545454546,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.8409090909090909,0.9772727272727273,0.13636363636363635,0.045454545454545456,0.22727272727272727,1.0,1.0,0.0,0.0,0.0,0.7072281254099436,0.7840679522497704,0.07683982683982683,-0.03787878787878787,0.20779220779220778
HotpotQA,Supporting-entity present,154,0.6103896103896104,0.7987012987012987,0.18831168831168832,0.12337662337662338,0.2532467532467532,0.801948051948052,0.8961038961038961,0.09415584415584416,0.06168831168831169,0.12987012987012986,0.9935064935064936,0.9935064935064936,0.0,-0.01948051948051948,0.01948051948051948,0.6238463556645375,0.6786304604486423,0.05478410478410479,-0.000555000555000553,0.10569985569985571
HotpotQA,No identifiable gold content,32,0.375,0.4375,0.0625,0.0,0.15625,0.640625,0.640625,0.0,-0.0625,0.0625,0.90625,0.84375,-0.0625,-0.15625,0.0,0.4828497023809524,0.5693080357142857,0.08645833333333333,-0.03125,0.21666666666666667
2WikiMultihopQA,Exact-answer present,347,0.345821325648415,0.659942363112392,0.31412103746397696,0.2680115273775216,0.3631123919308357,0.6649855907780979,0.861671469740634,0.19668587896253603,0.1729106628242075,0.22262247838616714,0.9827089337175793,0.9942363112391931,0.011527377521613832,0.002881844380403458,0.023054755043227664,0.6520012808197246,0.7824298979918577,0.13042861717213303,0.09158775902291752,0.17376149306985042
2WikiMultihopQA,Alias/paraphrase proxy present,20,0.55,0.95,0.4,0.15,0.65,0.775,0.975,0.2,0.075,0.325,1.0,1.0,0.0,0.0,0.0,0.5375,0.7785714285714286,0.24107142857142855,0.05714285714285715,0.45
2WikiMultihopQA,Supporting-entity present,132,0.36363636363636365,0.6515151515151515,0.2878787878787879,0.21212121212121213,0.3712121212121212,0.6666666666666666,0.8314393939393939,0.16477272727272727,0.12310606060606061,0.20833333333333334,0.9848484848484849,0.9924242424242424,0.007575757575757576,0.0,0.022727272727272728,0.3888888888888889,0.5863275613275614,0.19743867243867244,0.13044131794131794,0.26422558922558925
2WikiMultihopQA,No identifiable gold content,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
