dataset,baseline,target,n,baseline_any_hit,target_any_hit,delta_any_hit,delta_any_hit_ci_low,delta_any_hit_ci_high,baseline_all_hit,target_all_hit,delta_all_hit,delta_all_hit_ci_low,delta_all_hit_ci_high,baseline_support_recall,target_support_recall,delta_support_recall,delta_support_recall_ci_low,delta_support_recall_ci_high,both_full,baseline_only_full,target_only_full,neither_full,mcnemar_exact_p
HotpotQA,Single rewritten query,Length-matched hypothetical only,500,0.98,0.92,-0.06,-0.082,-0.036,0.618,0.274,-0.344,-0.394,-0.298,0.799,0.597,-0.202,-0.231,-0.173,111,198,26,165,5.970951512689934e-34
HotpotQA,Question + rewritten query,Length-matched question + hypothetical,500,0.978,0.974,-0.004,-0.02,0.012,0.628,0.64,0.012,-0.024,0.048,0.803,0.807,0.004,-0.017,0.025,272,42,48,138,0.5984117182335187
