dataset,subset,baseline,target,n,baseline_any_hit,target_any_hit,delta_any_hit,delta_any_hit_ci_low,delta_any_hit_ci_high,baseline_all_hit,target_all_hit,delta_all_hit,delta_all_hit_ci_low,delta_all_hit_ci_high,baseline_support_recall,target_support_recall,delta_support_recall,delta_support_recall_ci_low,delta_support_recall_ci_high,baseline_em,target_em,delta_em,delta_em_ci_low,delta_em_ci_high,baseline_f1,target_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,wrong_to_correct,correct_to_wrong,mcnemar_exact_p
HotpotQA,answer_not_in_hyde,Dense RAG,HyDE-style RAG,208,0.9807692307692307,0.9711538461538461,-0.009615384615384616,-0.028846153846153848,0.009615384615384616,0.5817307692307693,0.7596153846153846,0.1778846153846154,0.12980769230769232,0.23076923076923078,0.78125,0.8653846153846154,0.08413461538461539,0.055288461538461536,0.11298076923076923,0.3798076923076923,0.4375,0.057692307692307696,0.009615384615384616,0.10576923076923077,0.610973788497827,0.6729636682761682,0.06198987977834131,0.01695019723865878,0.10800753733446043,20,8,0.03569813817739487
2WikiMultihopQA,answer_not_in_hyde,Dense RAG,HyDE-style RAG,153,0.9869281045751634,0.9934640522875817,0.006535947712418301,0.0,0.0196078431372549,0.38562091503267976,0.6862745098039216,0.3006535947712418,0.2222222222222222,0.3790849673202614,0.6797385620915033,0.8480392156862745,0.16830065359477125,0.12908496732026145,0.20915032679738563,0.33986928104575165,0.5163398692810458,0.17647058823529413,0.1111111111111111,0.24836601307189543,0.40577342047930276,0.6076252723311547,0.20185185185185184,0.13715634401908908,0.2671127710343397,30,3,1.4011748135089874e-06
